[rosmaster.master][INFO] 2018-10-05 16:53:56,290: +PUB [/duckbot12/tag_detections_image/compressedDepth] /duckbot12/apriltag_detector_node http://duckbot12:39607/
[rosmaster.master][INFO] 2018-10-05 16:53:56,296: +PUB [/duckbot12/image_color/compressed/parameter_descriptions] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:56,314: +SERVICE [/duckbot12/tag_detections_image/compressedDepth/set_parameters] /duckbot12/apriltag_detector_node http://duckbot12:39607/
[rosmaster.master][INFO] 2018-10-05 16:53:56,328: +PUB [/duckbot12/image_color/compressed/parameter_updates] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:56,335: +PUB [/duckbot12/tag_detections_image/compressedDepth/parameter_descriptions] /duckbot12/apriltag_detector_node http://duckbot12:39607/
[rosmaster.master][INFO] 2018-10-05 16:53:56,352: +PUB [/duckbot12/tag_detections_image/compressedDepth/parameter_updates] /duckbot12/apriltag_detector_node http://duckbot12:39607/
[rosmaster.master][INFO] 2018-10-05 16:53:56,399: +PARAM [/duckbot12/image_color/compressed/format] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,411: +PARAM [/duckbot12/image_color/compressed/jpeg_quality] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,439: +PARAM [/duckbot12/tag_detections_image/compressedDepth/depth_max] by /duckbot12/apriltag_detector_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,443: +PARAM [/duckbot12/image_color/compressed/png_level] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,456: +PARAM [/duckbot12/tag_detections_image/compressedDepth/depth_quantization] by /duckbot12/apriltag_detector_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,460: +PARAM [/duckbot12/image_color/compressed/format] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,474: +PARAM [/duckbot12/tag_detections_image/compressedDepth/png_level] by /duckbot12/apriltag_detector_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,478: +PARAM [/duckbot12/image_color/compressed/jpeg_quality] by /duckbot12/image_proc_node
